City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,cidreira,32,BR,1548455620,86,-30.17,-50.22,75.92,15.7
89,henties bay,0,NA,1548455620,100,-22.12,14.28,60.67,4.07
90,kruisfontein,80,ZA,1548455620,92,-34.0,24.73,64.4,12.46
91,hermanus,44,ZA,1548455620,86,-34.42,19.24,59.59,6.42
92,vila velha,20,BR,1548453600,74,-3.71,-38.6,82.4,6.93
93,port macquarie,0,AU,1548453600,69,-31.43,152.91,82.4,4.7
94,russell,40,AR,1548453600,44,-33.01,-68.8,98.6,5.82
95,novobirilyussy,44,RU,1548455621,71,56.95,90.69,1.22,8.43
96,nyandoma,44,RU,1548455622,60,61.67,40.21,-6.88,3.85
97,puerto ayora,20,EC,1548453600,62,-0.74,-90.35,86.0,18.34
98,keuruu,90,FI,1548454800,92,62.26,24.71,19.4,5.82
99,cherskiy,12,RU,1548455622,59,68.75,161.3,-33.3,3.29
100,port blair,24,IN,1548455622,100,11.67,92.75,82.31,10.78
101,tongling,0,CN,1548455623,78,30.93,117.81,25.84,6.2
102,petrozavodsk,76,RU,1548453600,83,61.79,34.39,-5.81,2.95
103,turukhansk,0,RU,1548455623,49,65.8,87.96,-16.6,2.95
104,tateyama,75,JP,1548453600,100,36.66,137.31,32.0,6.93
105,arraial do cabo,75,BR,1548450000,83,-22.97,-42.02,75.2,2.24
106,quchan,8,IR,1548455624,72,37.11,58.51,16.66,2.39
107,helena,90,US,1548453180,81,46.59,-112.04,30.92,4.7
108,port lincoln,92,AU,1548455624,94,-34.72,135.86,66.52,8.77
109,vanimo,92,PG,1548455625,99,-2.67,141.3,83.89,13.8
110,rio negro,56,PE,1548455625,96,-11.21,-74.66,69.8,1.61
111,chala,8,TZ,1548455625,89,-7.6,31.27,56.89,2.62
112,sorland,75,NO,1548453000,74,67.67,12.69,28.4,9.17
113,keningau,90,MY,1548453600,100,5.33,116.16,75.2,4.7
114,ponta delgada,75,PT,1548453600,67,37.73,-25.67,60.8,11.41
115,eldama ravine,0,KE,1548453600,76,0.05,35.72,55.4,3.36
116,cayenne,75,GF,1548453600,74,4.94,-52.33,78.8,5.82
117,bollnas,88,SE,1548455627,90,61.35,16.39,15.17,2.39
118,mataura,76,NZ,1548455627,88,-46.19,168.86,59.9,19.62
119,makakilo city,20,US,1548453420,54,21.35,-158.09,80.96,12.75
120,kavaratti,8,IN,1548455627,100,10.57,72.64,80.74,6.98
121,longyearbyen,20,NO,1548453000,72,78.22,15.63,12.2,5.82
122,vao,80,EE,1548455628,86,59.1,26.19,10.72,8.66
123,caravelas,32,BR,1548455628,100,-17.73,-39.27,81.05,14.47
124,evensk,48,RU,1548455628,100,61.92,159.24,-6.97,8.21
125,gilleleje,80,DK,1548453000,85,56.12,12.31,28.4,5.82
126,takoradi,24,GH,1548455629,100,4.89,-1.75,81.23,8.1
127,tarakan,40,ID,1548453600,88,3.3,117.63,75.2,3.36
128,kovdor,88,RU,1548455629,71,67.56,30.47,-2.34,2.51
129,balaipungut,80,ID,1548455629,99,1.11,101.31,74.44,2.17
130,yellowknife,90,CA,1548453840,76,62.45,-114.38,-11.21,9.17
131,yulara,8,AU,1548453600,35,-25.24,130.99,87.8,9.17
132,komsomolskiy,20,RU,1548455630,40,67.55,63.78,-26.37,3.18
133,ahipara,36,NZ,1548455631,72,-35.17,173.16,73.36,6.64
134,afsin,64,TR,1548455631,81,38.25,36.91,21.11,3.62
135,bluff,44,AU,1548455632,59,-23.58,149.07,83.57,10.89
136,coquimbo,75,CL,1548453600,77,-29.95,-71.34,64.4,11.41
137,san luis,76,AR,1548455632,94,-33.3,-66.34,72.59,7.2
138,dingle,20,PH,1548455633,87,11.0,122.67,75.11,18.5
139,hirara,75,JP,1548453600,59,24.8,125.28,62.6,13.87
140,barrow,92,AR,1548455633,95,-38.31,-60.23,75.38,12.01
141,zhoucheng,0,CN,1548453600,63,31.35,119.33,30.2,4.47
142,petropavlovsk-kamchatskiy,8,RU,1548453600,70,53.05,158.65,1.4,8.95
143,singaraja,48,ID,1548455634,94,-8.11,115.08,76.69,2.17
144,ahuimanu,1,US,1548453420,64,21.44,-157.84,80.96,9.17
145,svetlaya,0,RU,1548455634,100,46.54,138.33,20.26,7.43
146,sinnar,0,IN,1548455612,69,19.85,74.0,39.47,4.18
147,ishigaki,75,JP,1548453600,63,24.34,124.16,62.6,13.87
148,marawi,36,PH,1548455635,93,8.0,124.29,71.87,3.18
149,mitu,20,IR,1548455635,89,36.2,46.09,31.28,3.85
150,tautira,75,PF,1548453600,62,-17.73,-149.15,87.8,11.41
151,aurich,92,DE,1548451200,100,53.47,7.48,33.8,9.17
152,geraldton,20,CA,1548453600,56,49.72,-86.95,-18.41,4.7
153,awbari,0,LY,1548455636,39,26.59,12.77,46.13,11.79
154,belaya kholunitsa,44,RU,1548455636,78,58.84,50.85,-0.72,10.22
155,eureka,1,US,1548453300,79,40.8,-124.16,59.0,6.93
156,paamiut,88,GL,1548455637,97,61.99,-49.67,30.79,43.55
157,quatre cocos,40,MU,1548453600,88,-20.21,57.76,78.8,8.05
158,skjervoy,0,NO,1548455637,100,70.03,20.97,23.63,21.07
159,methoni,76,GR,1548453000,76,36.82,21.7,51.8,10.29
