,city,temp_max,date,country,lat,lon,hum,cloud,wind
476,manavalakurichi,82.4,1548520200,IN,8.13,77.3,78.0,20.0,5.82
477,grass valley,50.0,1548521700,US,39.22,-121.06,92.0,1.0,2.68
478,rania,41.46,1548522715,IN,30.82,75.88,82.0,12.0,3.91
479,takoradi,83.17,1548522716,GH,4.89,-1.75,94.0,0.0,10.18
480,taburi,,,,,,,,
481,moussoro,81.64,1548522716,TD,13.64,16.49,23.0,0.0,8.39
482,te anau,51.85,1548522717,NZ,-45.41,167.72,72.0,0.0,6.49
483,pundaguitan,76.65,1548522717,PH,6.37,126.17,100.0,88.0,8.95
484,rassvet,26.6,1548522000,MD,47.2,28.43,92.0,90.0,2.24
485,qianan,16.17,1548522717,CN,44.99,124.06,47.0,24.0,15.66
486,el alto,59.0,1548518400,BO,-16.5,-68.19,47.0,75.0,12.75
487,van,32.0,1548521400,TR,38.51,43.37,100.0,40.0,4.7
488,cochrane,57.75,1548522578,CL,-47.25,-72.57,36.0,12.0,2.8
489,aflu,,,,,,,,
490,saint-pierre,44.6,1548520200,FR,48.95,4.24,93.0,90.0,14.99
491,ada,-2.21,1548521700,US,47.3,-96.52,76.0,1.0,6.93
492,turayf,55.4,1548522000,SA,31.68,38.65,62.0,0.0,5.82
493,hurricane,39.2,1548521760,US,37.18,-113.29,54.0,1.0,3.36
494,agbor,87.22,1548522721,NG,6.26,6.15,56.0,0.0,8.5
495,helmsdale,39.2,1548521400,GB,58.12,-3.65,93.0,90.0,29.97
496,ossora,-11.2,1548522721,RU,59.24,163.07,73.0,0.0,4.7
497,santa cruz,51.08,1548522000,US,36.97,-122.03,58.0,1.0,4.7
498,leh,-30.19,1548522724,IN,34.16,77.58,29.0,44.0,1.34
499,salinopolis,79.71,1548522435,BR,-0.61,-47.36,100.0,56.0,3.02
500,touros,87.8,1548518400,BR,-5.2,-35.46,62.0,75.0,16.11
501,sataua,,,,,,,,
502,hambantota,79.53,1548522725,LK,6.12,81.12,100.0,68.0,11.74
503,kalmunai,76.6,1548522725,LK,7.42,81.82,91.0,100.0,4.25
504,hirara,64.09,1548522725,JP,24.8,125.28,100.0,88.0,22.82
505,andevoranto,,,,,,,,
506,skibbereen,46.4,1548522000,IE,51.55,-9.27,87.0,75.0,21.92
507,dubbo,86.0,1548520200,AU,-32.25,148.6,40.0,56.0,9.17
508,kuche,,,,,,,,
509,damietta,64.4,1548518400,EG,31.42,31.81,68.0,0.0,4.7
510,ushtobe,6.49,1548522728,KZ,45.25,77.98,68.0,24.0,2.68
511,sari,51.8,1548518400,IR,36.57,53.06,93.0,90.0,6.93
512,springbok,82.99,1548522728,ZA,-29.67,17.88,20.0,0.0,7.94
513,kenora,-14.81,1548520500,CA,49.76,-94.48,75.0,1.0,5.82
514,albanel,-11.21,1548518400,CA,48.88,-72.44,57.0,40.0,4.7
515,golden,23.0,1548518400,CA,51.3,-116.96,92.0,75.0,2.46
516,sucre,70.75,1548522729,BO,-19.05,-65.26,36.0,32.0,3.36
517,panacan,73.4,1548518400,PH,7.15,125.66,100.0,90.0,6.93
518,iwaki,32.46,1548522730,JP,37.05,140.89,100.0,0.0,12.19
519,bakurianis andeziti,33.04,1548522731,GE,41.73,43.47,71.0,44.0,1.79
520,awka,84.3,1548522731,NG,6.21,7.07,63.0,8.0,6.6
521,ulladulla,71.6,1548518400,AU,-35.36,150.48,100.0,44.0,8.05
522,ahipara,57.03,1548522575,NZ,-35.17,173.16,100.0,0.0,3.91
523,taltal,72.15,1548522732,CL,-25.41,-70.49,76.0,0.0,4.03
524,concepcion del oro,43.57,1548522732,MX,24.63,-101.42,71.0,68.0,3.36
525,jawhar,68.1,1548522733,IN,19.91,73.23,46.0,0.0,11.74
526,juifang,,,,,,,,
527,zhangye,-4.18,1548522733,CN,38.94,100.46,54.0,44.0,2.68
528,aviles,50.0,1548520200,ES,43.55,-5.92,87.0,20.0,12.75
529,bodden town,84.2,1548522000,KY,19.28,-81.25,66.0,20.0,14.99
530,yar-sale,-19.97,1548522734,RU,66.83,70.83,88.0,64.0,8.05
531,evensk,-11.29,1548522734,RU,61.92,159.24,100.0,48.0,8.61
532,vreed en hoop,,,,,,,,
533,atar,80.07,1548522735,MR,20.52,-13.05,13.0,88.0,2.57
534,srivardhan,63.6,1548522735,IN,18.03,73.02,93.0,0.0,1.57
535,priiskovyy,-3.28,1548522736,RU,51.93,116.63,58.0,68.0,2.13
536,elizabeth city,48.92,1548522000,US,36.3,-76.22,36.0,1.0,4.7
537,doctor pedro p. pena,,,,,,,,
538,nizhniy baskunchak,11.76,1548522738,RU,48.22,46.83,90.0,68.0,14.54
539,padang,80.6,1548518400,ID,-0.92,100.36,88.0,40.0,5.82
540,samalaeulu,,,,,,,,
541,dailly,44.6,1548521400,GB,55.28,-4.72,100.0,75.0,3.36
542,byron bay,75.2,1548520200,AU,-28.65,153.62,83.0,75.0,12.75
543,shimoda,44.52,1548522739,JP,34.7,138.93,100.0,0.0,17.78
544,khani,57.2,1548520200,GE,41.96,42.96,35.0,0.0,19.46
545,vila do maio,77.0,1548518400,CV,15.13,-23.22,61.0,0.0,10.29
546,galgani,,,,,,,,
547,eyl,75.7,1548522740,SO,7.98,49.82,90.0,0.0,20.69
548,meru,62.61,1548522740,KE,0.05,37.65,89.0,0.0,0.56
549,tarakan,78.8,1548518400,ID,3.3,117.63,94.0,75.0,5.82
550,ahuimanu,69.98,1548518220,US,21.44,-157.84,90.0,90.0,18.34
551,kouango,75.93,1548522741,CF,4.99,19.98,88.0,20.0,2.35
552,lianyuan,39.66,1548522742,CN,27.69,111.67,93.0,76.0,2.46
553,ishigaki,63.55,1548522742,JP,24.34,124.16,100.0,36.0,23.15
554,mirnyy,14.28,1548522743,RU,56.57,36.46,83.0,92.0,15.43
555,verkh-usugli,0.06,1548522743,RU,52.7,115.17,87.0,64.0,2.68
556,maibong,53.65,1548522743,IN,25.3,93.13,88.0,8.0,2.13
557,balagansk,-8.41,1548522743,RU,54.01,103.05,62.0,0.0,2.57
558,kalispell,28.04,1548518100,US,48.2,-114.32,92.0,90.0,3.02
559,katherine,77.0,1548520200,AU,-14.47,132.26,83.0,36.0,5.82
560,lima,84.2,1548518400,PE,-12.06,-77.04,58.0,0.0,11.41
561,la seyne-sur-mer,57.2,1548520200,FR,43.1,5.88,50.0,0.0,1.12
562,warqla,,,,,,,,
563,moscow,14.0,1548520200,RU,55.75,37.62,85.0,90.0,8.95
564,kazalinsk,,,,,,,,
565,jumla,18.82,1548522745,NP,29.28,82.18,98.0,88.0,1.57
566,kantunilkin,73.4,1548520860,MX,21.1,-87.49,100.0,90.0,3.36
567,lufilufi,80.16,1548522746,WS,-13.87,-171.6,100.0,80.0,4.7
568,maridi,,,,,,,,
569,mwense,71.7,1548522746,ZM,-10.39,28.7,84.0,36.0,4.92
570,deputatskiy,-37.7,1548522747,RU,69.3,139.9,0.0,32.0,2.68
571,sroda wielkopolska,28.4,1548522000,PL,52.23,17.28,100.0,90.0,2.24
572,atambua,77.82,1548522747,ID,-9.11,124.89,100.0,100.0,6.04
573,lano,81.96,1548522747,NG,10.17,11.47,33.0,0.0,3.47
574,djibo,76.83,1548522748,BF,14.1,-1.63,16.0,0.0,9.06
575,belyy yar,5.0,1548520200,RU,53.6,91.39,71.0,32.0,2.24
576,port hardy,41.0,1548518400,CA,50.7,-127.42,93.0,90.0,3.36
577,fairbanks,24.08,1548520620,US,64.84,-147.72,100.0,75.0,2.24
578,elk city,48.56,1548522900,US,35.41,-99.4,34.0,1.0,12.75
579,neryungri,-20.92,1548522749,RU,56.66,124.71,81.0,12.0,5.48
580,san andres,77.05,1548522750,PH,13.32,122.68,100.0,36.0,24.27
581,surin,73.4,1548518400,TH,14.88,103.49,64.0,0.0,12.75
582,shar,90.73,1548522751,NG,7.3,8.73,42.0,36.0,5.7
583,rodney,14.0,1548518400,CA,42.57,-81.68,66.0,1.0,4.7
584,shebunino,14.0,1548520200,RU,57.66,40.04,78.0,90.0,13.42
585,camargo,57.48,1548522752,MX,27.69,-105.17,23.0,0.0,4.36
586,smiltene,13.02,1548522752,LV,57.42,25.9,88.0,68.0,6.15
587,olafsvik,,,,,,,,
588,mahajanga,80.6,1548518400,MG,-15.72,46.32,88.0,40.0,4.7
589,sao joao do piaui,85.78,1548522752,BR,-8.36,-42.25,68.0,44.0,5.26
590,bantry,,,,,,,,
591,chum phae,66.07,1548522753,TH,16.54,102.1,67.0,80.0,4.92
592,filadelfia,102.7,1548522753,PY,-22.35,-60.04,41.0,8.0,8.05
593,margate,60.8,1548520200,AU,-43.03,147.26,59.0,75.0,11.41
594,hay river,5.0,1548518400,CA,60.82,-115.79,84.0,90.0,4.7
595,mount isa,84.2,1548520200,AU,-20.73,139.49,54.0,68.0,12.75
596,aybak,,,,,,,,
597,lolua,,,,,,,,
598,karratha,81.06,1548522755,AU,-20.74,116.85,79.0,92.0,21.14
599,anchorage,30.92,1548521580,US,61.22,-149.89,81.0,90.0,8.05
600,juybar,51.8,1548518400,IR,36.64,52.91,81.0,75.0,6.93
601,lucea,84.2,1548522000,JM,18.44,-78.17,66.0,20.0,16.11
602,tiznit,59.91,1548522756,MA,29.7,-9.73,88.0,0.0,5.14
603,katangli,6.27,1548522756,RU,51.71,143.23,97.0,0.0,15.1
604,jiayuguan,0.6,1548522758,CN,39.77,98.29,82.0,80.0,2.46
605,rawah,,,,,,,,
606,bucak,53.6,1548521400,TR,37.46,30.59,70.0,75.0,6.93
607,zhezkazgan,19.23,1548522758,KZ,47.8,67.71,88.0,80.0,6.6
608,muros,53.6,1548520200,ES,42.77,-9.06,76.0,0.0,4.7
609,tezpur,55.18,1548522759,IN,26.62,92.79,84.0,44.0,1.79
610,ovalle,75.66,1548522760,CL,-30.6,-71.2,81.0,0.0,4.14
611,barinas,86.32,1548522760,VE,8.64,-70.23,67.0,0.0,10.51
