,city,temp_max,date,country,lat,lon,hum,cloud,wind
198,belaya gora,-29.2,1548522635,RU,68.54,146.19,47.0,48.0,3.13
199,arua,78.36,1548522635,UG,3.02,30.91,43.0,12.0,6.49
200,axim,84.48,1548522423,GH,4.87,-2.24,94.0,0.0,14.09
201,khorixas,84.57,1548522635,NA,-20.37,14.96,20.0,0.0,9.95
202,alofi,75.2,1548518400,NU,-19.06,-169.92,88.0,12.0,5.82
203,attawapiskat,,,,,,,,
204,garavuti,39.2,1548520200,TJ,37.57,68.45,64.0,40.0,4.47
205,shitanjing,8.2,1548522636,CN,39.23,106.34,68.0,68.0,2.68
206,richards bay,68.1,1548522637,ZA,-28.77,32.06,93.0,88.0,6.04
207,yumen,12.12,1548522637,CN,40.29,97.04,83.0,80.0,8.95
208,magistralnyy,4.24,1548522637,RU,56.17,107.45,75.0,64.0,3.58
209,tilichiki,-19.07,1548522637,RU,60.47,166.1,27.0,0.0,3.02
210,awjilah,54.37,1548522638,LY,29.14,21.3,31.0,20.0,12.75
211,grand river south east,,,,,,,,
212,east london,71.6,1548518400,ZA,-33.02,27.91,68.0,0.0,16.11
213,buchanan,91.4,1548520200,LR,5.88,-10.05,52.0,40.0,12.75
214,sistranda,26.6,1548521400,NO,63.73,8.83,63.0,0.0,23.04
215,ambon,50.0,1548520200,FR,47.55,-2.56,93.0,75.0,11.41
216,quelimane,86.0,1548518400,MZ,-17.88,36.89,62.0,20.0,8.05
217,aleksandrovskiy zavod,-2.38,1548522640,RU,50.92,117.94,54.0,64.0,3.13
218,tual,85.6,1548522640,ID,-5.67,132.75,93.0,88.0,16.44
219,valparaiso,14.0,1548521700,US,41.47,-87.06,79.0,1.0,4.59
220,gambela,70.53,1548522641,ET,8.25,34.59,71.0,0.0,1.68
221,avarua,80.6,1548518400,CK,-21.21,-159.78,83.0,75.0,12.75
222,puerto escondido,84.2,1548521100,MX,15.86,-97.07,66.0,20.0,6.93
223,kodiak,22.64,1548520500,US,39.95,-94.76,48.0,40.0,6.93
224,udachnyy,-35.5,1548522642,RU,66.42,112.4,0.0,24.0,2.35
225,sentyabrskiy,,,,,,,,
226,komsomolskiy,-22.9,1548522643,RU,67.55,63.78,34.0,64.0,3.58
227,kismayo,,,,,,,,
228,bethel,35.6,1548520080,US,60.79,-161.76,74.0,90.0,12.75
229,corralillo,78.18,1548522644,CU,22.98,-80.59,92.0,0.0,6.82
230,kuala terengganu,80.6,1548518400,MY,5.33,103.14,78.0,75.0,6.93
231,chabahar,74.08,1548522646,IR,25.29,60.65,93.0,0.0,10.63
232,shumskiy,-6.65,1548522646,RU,54.83,99.13,55.0,0.0,2.13
233,dimbokro,89.61,1548522646,CI,6.65,-4.7,44.0,0.0,4.81
234,akyab,,,,,,,,
235,adrar,73.4,1548518400,DZ,27.87,-0.29,28.0,0.0,6.93
236,nazarovo,10.68,1548522647,RU,56.01,90.42,70.0,88.0,12.75
237,canatlan,57.2,1548521160,MX,24.52,-104.78,22.0,20.0,12.75
238,gamba,-8.5,1548522587,CN,28.28,88.52,53.0,36.0,2.57
239,tasiilaq,23.0,1548517800,GL,65.61,-37.64,45.0,90.0,28.86
240,saryshagan,,,,,,,,
241,clyde river,-16.61,1548518400,CA,70.47,-68.59,82.0,90.0,20.8
242,waipawa,59.77,1548522649,NZ,-39.94,176.59,79.0,8.0,15.66
243,wulanhaote,,,,,,,,
244,iquique,77.0,1548518400,CL,-20.22,-70.14,57.0,0.0,13.87
245,sao joao da barra,89.6,1548518400,BR,-21.64,-41.05,46.0,0.0,20.8
246,murray bridge,66.07,1548522650,AU,-35.12,139.28,90.0,68.0,10.18
247,san lorenzo,86.05,1548522651,HN,13.43,-87.45,68.0,0.0,3.02
248,kalabo,77.28,1548522651,ZM,-15.0,22.67,71.0,100.0,4.03
249,sangar,-35.77,1548522652,RU,63.92,127.47,0.0,20.0,2.68
250,salalah,75.2,1548517800,OM,17.01,54.1,64.0,20.0,3.36
251,mitsamiouli,84.2,1548518400,KM,-11.38,43.28,79.0,40.0,6.93
252,vila franca do campo,60.8,1548520200,PT,37.72,-25.43,59.0,75.0,16.11
253,terney,13.47,1548522653,RU,45.05,136.61,100.0,0.0,11.18
254,totoro,60.9,1548522653,PE,-13.98,-74.17,56.0,56.0,4.14
255,dunedin,60.81,1548522466,NZ,-45.87,170.5,67.0,0.0,6.93
256,kieta,78.72,1548522653,PG,-6.22,155.63,100.0,56.0,3.13
257,petatlan,86.0,1548521100,MX,17.52,-101.27,48.0,20.0,6.93
258,jacareacanga,85.78,1548522654,BR,-6.22,-57.76,71.0,48.0,2.8
259,toliary,,,,,,,,
260,acapulco,84.2,1548521340,MX,16.86,-99.88,66.0,5.0,6.93
261,ciudad bolivar,93.57,1548522655,VE,8.12,-63.55,33.0,0.0,9.73
262,catamarca,,,,,,,,
263,samusu,,,,,,,,
264,quatre cocos,82.4,1548518400,MU,-20.21,57.76,78.0,75.0,9.17
265,pullman,35.06,1548521760,US,46.73,-117.17,81.0,1.0,9.17
266,porto novo,80.6,1548518400,BR,-23.68,-45.44,57.0,20.0,9.17
267,istok,12.12,1548522656,PL,52.85,23.44,73.0,44.0,4.14
268,kongwa,72.42,1548522657,TZ,-6.19,36.41,62.0,0.0,7.61
269,dwarka,51.8,1548520200,IN,28.58,77.04,71.0,0.0,5.82
270,hovd,26.6,1548521400,NO,63.83,10.7,53.0,0.0,25.28
271,saint anthony,21.92,1548521760,US,43.97,-111.68,91.0,90.0,5.82
272,marzuq,59.23,1548522658,YE,14.4,46.47,48.0,0.0,3.91
273,westport,42.8,1548522000,IE,53.8,-9.52,100.0,75.0,13.87
274,cap-aux-meules,24.8,1548518400,CA,47.38,-61.86,53.0,20.0,20.8
275,aklavik,3.2,1548518400,CA,68.22,-135.01,84.0,75.0,2.24
276,mocuba,79.75,1548522659,MZ,-16.84,36.99,75.0,12.0,5.93
277,sesheke,80.61,1548522659,NA,-17.47,24.29,56.0,44.0,4.59
278,mahebourg,82.4,1548518400,MU,-20.41,57.7,78.0,75.0,9.17
279,coihaique,57.2,1548518400,CL,-45.58,-72.07,44.0,20.0,5.82
280,coahuayana,80.52,1548522660,MX,18.62,-100.35,25.0,0.0,3.02
281,mutsamudu,,,,,,,,
282,yerbogachen,-0.04,1548522660,RU,61.28,108.01,73.0,76.0,6.15
283,petropavlovsk-kamchatskiy,-5.81,1548518400,RU,53.05,158.65,83.0,0.0,8.95
284,chalus,51.8,1548518400,IR,36.66,51.42,87.0,90.0,2.24
285,cherskiy,-28.07,1548522662,RU,68.75,161.3,44.0,64.0,2.46
286,hithadhoo,81.6,1548522662,MV,-0.6,73.08,100.0,76.0,8.05
287,aksarka,-20.56,1548522662,RU,66.56,67.8,30.0,68.0,3.8
288,nanakuli,69.98,1548518220,US,21.39,-158.15,69.0,90.0,6.93
289,decatur,42.98,1548521700,US,35.51,-84.79,48.0,1.0,8.05
290,umzimvubu,,,,,,,,
291,hostotipaquillo,73.9,1548522663,MX,21.06,-104.05,38.0,0.0,2.35
292,thinadhoo,81.51,1548522664,MV,0.53,72.93,100.0,20.0,7.16
293,felanitx,57.2,1548520200,ES,39.47,3.15,82.0,20.0,9.17
294,veraval,48.2,1548520200,FR,49.65,0.71,87.0,75.0,14.99
295,wanaka,59.95,1548522664,NZ,-44.7,169.14,46.0,0.0,4.59
296,loding,32.0,1548521400,DE,48.05,12.68,85.0,75.0,5.82
297,egvekinot,-3.82,1548522665,RU,66.32,-179.17,73.0,80.0,9.62
298,tuatapere,57.7,1548522665,NZ,-46.13,167.69,92.0,0.0,12.97
299,marystown,33.94,1548522666,CA,47.17,-55.16,82.0,0.0,15.77
300,gornoye loo,57.2,1548520200,RU,43.72,39.61,41.0,90.0,11.18
301,hajipur,60.8,1548520200,IN,25.69,85.21,93.0,40.0,2.24
302,kegayli,,,,,,,,
303,mecca,77.1,1548522369,SA,21.43,39.83,68.0,20.0,5.37
304,ballina,44.6,1548522000,IE,54.11,-9.15,100.0,75.0,13.87
305,rawson,76.47,1548522667,AR,-43.3,-65.11,33.0,0.0,8.95
306,darhan,10.99,1548522667,MN,49.49,105.92,59.0,64.0,8.05
307,kahului,69.98,1548518400,US,20.89,-156.47,61.0,40.0,14.99
308,oktyabrskoye,12.2,1548518400,RU,56.73,85.44,85.0,75.0,15.66
309,arraial do cabo,89.6,1548518400,BR,-22.97,-42.02,74.0,20.0,16.11
310,yaring,74.98,1548522669,TH,6.87,101.37,77.0,44.0,5.14
311,mikkeli,10.4,1548521400,FI,61.69,27.27,85.0,90.0,3.36
312,bowen,75.2,1548518400,AU,-20.01,148.25,88.0,40.0,8.05
313,anadyr,-0.41,1548518400,RU,64.73,177.51,84.0,75.0,8.95
314,nisia floresta,87.8,1548518400,BR,-6.09,-35.21,66.0,40.0,12.75
315,reconquista,95.5,1548522670,AR,-29.14,-59.64,73.0,32.0,4.59
316,san salvo,46.4,1548517800,IT,42.04,14.73,83.0,0.0,5.82
317,mogadishu,79.3,1548522629,SO,2.04,45.34,99.0,0.0,23.71
318,mount gambier,55.4,1548518400,AU,-37.83,140.78,87.0,88.0,8.05
319,la ronge,-14.81,1548520920,CA,55.1,-105.3,83.0,75.0,6.93
320,kilindoni,82.99,1548522672,TZ,-7.91,39.67,100.0,0.0,14.43
321,port augusta,68.0,1548518400,AU,-32.49,137.76,68.0,75.0,14.99
322,bartica,86.0,1548518400,GY,6.41,-58.62,55.0,75.0,6.93
323,faya,64.4,1548518400,SA,18.39,42.45,82.0,0.0,6.93
324,aporawan,,,,,,,,
325,iqaluit,17.6,1548520620,CA,63.75,-68.52,78.0,90.0,35.57
326,viedma,77.77,1548522673,AR,-40.81,-62.99,41.0,0.0,7.94
327,pangnirtung,15.8,1548518400,CA,66.15,-65.72,66.0,90.0,36.91
328,lubyany,-2.21,1548520200,RU,56.04,51.4,77.0,75.0,6.71
329,fevralsk,,,,,,,,
330,boa vista,91.4,1548518400,BR,2.82,-60.67,38.0,20.0,14.99
331,meulaboh,78.04,1548522675,ID,4.14,96.13,100.0,48.0,7.05
332,hendijan,,,,,,,,
333,zabid,52.17,1548522676,YE,14.2,44.5,43.0,0.0,4.92
334,ondorhaan,,,,,,,,
335,yining,27.82,1548522676,CN,29.04,114.56,80.0,8.0,2.35
336,san carlos de bariloche,69.8,1548518400,AR,-41.13,-71.31,19.0,0.0,6.93
337,krasnoselkup,,,,,,,,
338,port-cartier,-2.21,1548518400,CA,50.03,-66.88,49.0,20.0,14.99
339,kavaratti,81.28,1548522484,IN,10.57,72.64,100.0,0.0,9.17
340,tambopata,,,,,,,,
341,aransas pass,63.5,1548521760,US,27.91,-97.15,86.0,90.0,10.29
342,san patricio,96.45,1548522678,PY,-26.98,-56.83,59.0,0.0,3.13
343,namibe,75.97,1548522678,AO,-15.19,12.15,100.0,0.0,9.28
344,nantucket,33.98,1548521580,US,41.28,-70.1,48.0,1.0,9.17
345,blind river,-5.98,1548521700,CA,46.19,-82.96,78.0,90.0,6.49
346,islamkot,47.22,1548522679,PK,24.7,70.18,31.0,0.0,7.27
347,umtata,62.6,1548518400,ZA,-31.59,28.78,77.0,90.0,11.41
348,kununurra,80.6,1548520200,AU,-15.77,128.74,83.0,32.0,3.36
349,arrecife,,,,,,,,
350,xiongzhou,32.0,1548518400,CN,32.34,118.83,78.0,0.0,3.36
351,nizhneyansk,,,,,,,,
352,garissa,81.55,1548522680,KE,-0.46,39.64,45.0,0.0,6.38
353,bubanza,62.43,1548522681,BI,-3.08,29.39,82.0,0.0,1.68
354,palu,68.01,1548522681,ID,-0.9,119.87,87.0,56.0,1.45
355,dibaya,,,,,,,,
356,linjiang,-9.67,1548522681,CN,41.81,126.91,48.0,0.0,4.14
357,kungurtug,-23.03,1548522682,RU,50.6,97.53,27.0,0.0,2.13
358,chapais,-20.21,1548521520,CA,49.78,-74.86,61.0,40.0,4.7
359,afonso bezerra,87.04,1548522682,BR,-5.5,-36.51,59.0,76.0,11.74
360,candido mendes,79.75,1548522683,BR,-1.45,-45.72,100.0,92.0,4.92
361,sao filipe,74.13,1548522683,CV,14.9,-24.5,89.0,92.0,7.38
362,mwinilunga,65.4,1548522683,ZM,-11.73,24.43,91.0,100.0,2.35
363,songjianghe,-9.67,1548522683,CN,42.18,127.48,48.0,0.0,4.14
364,libertador general san martin,95.05,1548522684,AR,-23.81,-64.79,49.0,0.0,5.7
365,moranbah,72.64,1548522684,AU,-22.0,148.04,93.0,92.0,7.61
366,ferkessedougou,87.04,1548522685,CI,9.6,-5.2,19.0,0.0,10.18
367,suao,,,,,,,,
368,shache,17.74,1548522685,CN,38.42,77.24,77.0,32.0,2.91
369,itarema,84.21,1548522685,BR,-2.92,-39.92,74.0,92.0,9.62
370,genhe,-10.88,1548522686,CN,50.78,121.52,49.0,12.0,2.68
371,ranong,79.53,1548522686,TH,9.96,98.62,99.0,32.0,12.41
372,jiddah,,,,,,,,
373,bolungarvik,,,,,,,,
374,churapcha,-30.95,1548522687,RU,62.0,132.43,0.0,32.0,2.91
375,iwanai,30.93,1548522687,JP,42.97,140.51,100.0,48.0,15.21
376,tsaratanana,72.51,1548522687,MG,-16.8,47.65,98.0,88.0,2.68
377,cabo san lucas,71.6,1548521100,MX,22.89,-109.91,46.0,40.0,1.68
378,kerema,78.63,1548522688,PG,-7.96,145.78,71.0,20.0,1.34
379,rio grande,93.2,1548518400,BR,-32.03,-52.1,59.0,40.0,6.93
380,ostrovnoy,-13.9,1548522689,RU,68.05,39.51,84.0,0.0,7.94
381,sovetskiy,-0.67,1548522689,RU,56.76,48.47,67.0,88.0,6.38
382,gizo,66.2,1548521400,IL,31.8,34.94,59.0,0.0,4.7
383,bloemfontein,89.6,1548518400,ZA,-29.12,26.22,16.0,0.0,10.29
384,devils lake,-5.81,1548521760,US,48.11,-98.87,77.0,1.0,11.41
385,bandundu,84.34,1548522690,CD,-3.32,17.38,69.0,24.0,3.58
386,usta muhammad,54.19,1548522691,PK,28.18,68.05,100.0,92.0,5.93
387,nuuk,33.8,1548517800,GL,64.17,-51.74,86.0,90.0,12.75
388,kiunga,74.58,1548522691,PG,-6.12,141.3,95.0,76.0,1.34
389,wuwei,3.52,1548522692,CN,37.93,102.64,72.0,56.0,1.79
390,tura,59.59,1548522476,IN,25.52,90.21,82.0,92.0,2.13
391,sembe,,,,,,,,
392,barela,59.0,1548520200,IN,23.1,80.05,82.0,90.0,5.82
393,sarmas,12.2,1548519600,LV,56.69,24.3,100.0,20.0,3.36
394,trelaze,48.2,1548520200,FR,47.45,-0.47,87.0,90.0,16.11
395,sinnamary,81.55,1548522693,GF,5.38,-52.96,88.0,32.0,8.72
396,vanimo,81.37,1548522693,PG,-2.67,141.3,100.0,64.0,13.2
397,tidore,,,,,,,,
398,shetpe,24.72,1548522694,KZ,44.14,52.16,83.0,0.0,7.83
399,ribeira grande,62.6,1548520200,PT,38.52,-28.7,72.0,40.0,13.87
400,beipiao,20.98,1548522694,CN,41.8,120.76,29.0,12.0,8.39
401,bonavista,30.97,1548522694,CA,48.65,-53.11,93.0,0.0,14.99
402,road town,84.2,1548518400,VG,18.42,-64.62,54.0,40.0,18.34
403,conde,86.59,1548522695,BR,-11.81,-37.61,65.0,0.0,11.18
404,abnub,73.4,1548518400,EG,27.27,31.15,27.0,0.0,3.36
405,boyolangu,71.02,1548522696,ID,-8.09,111.9,97.0,88.0,3.24
406,bandarbeyla,77.1,1548522696,SO,9.49,50.81,100.0,56.0,20.36
407,agua dulce,71.6,1548520860,MX,18.14,-94.15,88.0,90.0,7.72
408,pemangkat,,,,,,,,
409,kolimvari,,,,,,,,
410,haines junction,16.57,1548522697,CA,60.75,-137.51,81.0,80.0,2.13
411,kruisfontein,67.87,1548522697,ZA,-34.0,24.73,78.0,0.0,17.22
412,gallup,21.92,1548517980,US,35.53,-108.74,77.0,1.0,5.14
413,abu dhabi,75.2,1548518400,AE,24.47,54.37,40.0,0.0,2.24
414,tshikapa,78.27,1548522699,CD,-6.42,20.79,85.0,24.0,1.12
415,cidreira,86.01,1548522699,BR,-30.17,-50.22,68.0,0.0,17.45
416,roma,48.2,1548521400,IT,41.89,12.48,48.0,0.0,6.93
417,ramshir,66.2,1548518400,IR,30.89,49.41,82.0,88.0,9.17
418,bendigo,65.31,1548522700,AU,-36.76,144.28,50.0,92.0,11.63
419,laguna,62.6,1548521040,MX,27.52,-110.01,36.0,5.0,2.24
420,teguise,66.2,1548520200,ES,29.06,-13.56,82.0,75.0,5.82
421,rustenburg,63.96,1548522501,ZA,-25.67,27.24,92.0,48.0,5.14
